date,VNINDEX_close,VNINDEX_volume,VN30_close,VN30_volume,HNXINDEX_close,HNXINDEX_volume,UPCOMINDEX_close,UPCOMINDEX_volume,MBB_close,MBB_volume
2021-11-26,1493.03,967912000,1566.55,286506800,458.63,134886342,114.34,205745932,13.68,16768600
2021-11-29,1484.84,936276500,1553.04,270835200,460.58,134632987,114.06,106119222,13.45,17093500
2021-11-30,1478.44,1010078900,1537.59,254246000,458.05,150675681,114.1,121530554,13.09,20624000
2021-12-01,1485.19,813267800,1549.81,183018700,455.81,127854722,114.58,97713552,13.32,10550600
2021-12-02,1482.05,721589500,1540.88,155692100,458.23,124588722,114.55,102579190,13.14,7310900
2021-12-03,1443.32,998875400,1503.98,237844400,449.27,154555857,112.11,191732628,12.77,12442600
2021-12-06,1413.58,978214400,1480.92,264304900,435.85,139718001,109.19,99040185,12.41,16336900
2021-12-07,1446.77,664287400,1512.62,167560600,446.41,105406716,110.85,77616941,12.71,7763200
2021-12-08,1452.87,711759600,1516.16,176054000,449.74,121746576,111.29,61196993,12.82,7357500
2021-12-09,1467.98,611970400,1529.61,141320100,452.53,88689393,111.91,65231584,12.89,4588800
2021-12-10,1463.54,760375600,1519.46,172565800,450.75,103713936,111.81,191761443,12.8,6326300
2021-12-13,1476.21,789945400,1520.8,166213200,457.56,110218472,112.3,76683475,12.82,8861200
2021-12-14,1476.02,888205600,1516.44,170665700,454.68,108959267,112.09,84992731,12.75,6132200
2021-12-15,1475.5,840610100,1519.42,150689400,453.7,113321343,111.72,71950629,12.86,6405100
2021-12-16,1476.61,870245300,1510.17,187576000,457.03,116229316,111.73,66059769,12.75,5655800
2021-12-17,1479.79,1035566100,1513.56,220350000,456.2,140772650,111.6,187423085,12.73,7073400
2021-12-20,1477.33,886732500,1513.6,180132400,454.59,122188466,111.02,81705149,12.59,7451700
2021-12-21,1478.74,838294200,1511.48,175784000,455.01,112214377,111.37,73066819,12.62,6370000
2021-12-22,1477.67,998640700,1504.12,220183200,453.1,142929260,110.93,97430544,12.48,8662500
2021-12-23,1456.96,1236789400,1477.37,241493800,442.61,162726570,109.53,128578710,12.32,10142300
2021-12-24,1477.03,830953100,1506.67,197961200,445.61,115794233,110.2,145300907,12.71,6812300
2021-12-27,1488.88,693941300,1514.55,134565900,449.41,85591502,110.37,83642604,12.71,3867300
2021-12-28,1494.39,906771600,1523.54,189418700,458.05,128847789,110.44,107118148,12.77,6286100
2021-12-29,1485.82,769725300,1515.94,154782700,457.83,106168128,110.76,82847474,12.77,9231900
2021-12-30,1485.97,697130800,1519.62,145697200,461.65,116252032,111.56,87233257,12.84,4948800
2021-12-31,1498.28,807120700,1535.71,183408500,473.99,102629536,112.68,172041451,13.04,12992800
2022-01-04,1525.58,790467000,1558.87,207489800,474.1,97619762,113.72,113474487,13.14,9072900
2022-01-05,1522.5,958500400,1546.01,222221200,480.36,132567347,114.26,118118173,12.96,9114900
2022-01-06,1528.57,1049960600,1544.95,231961100,484.89,141225444,114.39,116487545,12.8,10895000
2022-01-07,1528.48,925633800,1532.24,200626600,493.84,144552612,115.6,174106867,12.91,9526200
2022-01-10,1503.71,1283743700,1514.7,200034100,482.89,186345587,114.3,143962719,12.68,8933100
2022-01-11,1492.31,1194709000,1499.74,187023400,481.61,139624341,114.54,100300883,12.59,6839700
2022-01-12,1510.51,1070503500,1530.04,282093000,473.64,137196360,114.19,112854514,13.18,15289300
2022-01-13,1496.05,941991300,1526.43,308816900,460.83,109183774,112.67,87067595,13.41,34751600
2022-01-14,1496.02,712911900,1523.57,135949400,466.86,86613410,112.22,150571108,13.38,9472300
2022-01-17,1452.84,888508000,1478.61,290137800,445.34,131478335,109.36,95984610,13.32,29430300
2022-01-18,1438.94,666313500,1476.59,214017600,421.21,88671016,107.47,66858786,13.5,14337200
2022-01-19,1442.79,538507600,1482.55,142261000,409.31,99911776,107.84,55607530,13.36,12387700
2022-01-20,1465.3,738010400,1492.81,163721300,411.8,79176922,109.67,57097931,13.63,15630500
2022-01-21,1472.89,755353500,1502.16,218982600,417.84,81752610,109.68,132544878,14.35,50936100
2022-01-24,1439.71,757646100,1471.31,243478300,400.76,111100433,106.71,56872457,14.49,32125900
2022-01-25,1479.58,680083800,1516.16,191549000,410.23,70156062,108.03,49757768,14.72,19837800
